gate_name,intended_rule,source_trace,n_excluded_by_gate,n_recomputed_excluded,delta,n_policy,n_bug,n_drift,bhy_significant_q05,rescued_count,notes
G1_DEFERRED_FILTER_EXCLUDED,filter_family in EXCLUDE set excludes row (v2 plan Criterion 3 policy).,"research/chordia_queue_recompute.py:116-122,472-473",593,593,0,593,0,0,True,0,"_EXCLUDE_FAMILIES = ['COST_LT', 'NO_FILTER', 'ORB_G', 'ORB_VOL', 'OVNRNG']. Stored vs recomputed family agreement: 593/593."
G2_sample_size_below_deploy_threshold,sample_size_stored < 100 blocks row (Criterion 7 deployable floor).,research/chordia_queue_recompute.py:403-404,60,60,0,60,0,0,True,0,Predicate: sample_size_stored < 100. Stored-blocker agreement with predicate: 844/844 rows. min/max sample_size on blocked rows: 31/93.
G3_MODE_A_IS_EMPTY,n_is_mode_a < 50 blocks row (Mode A IS power floor).,research/chordia_queue_recompute.py:415-416,77,77,0,77,0,0,True,0,CSV recompute agreement: 844/844. Live-DB sample recompute (N=8): 0 cross-boundary disagreements.
G4_c8_not_passed,"c8_not_passed blocker fires via Path A (c8_oos_status in {NEGATIVE_OOS_EXPR, FAILED_RATIO}) OR Path B (JSON hard_issues contains c8_not_passed).",research/chordia_queue_recompute.py:412-413 (Path A) + 419-423 (Path B),256,256,0,844,0,0,True,0,"Path A (line 412 c8_oos_status predicate): 222 rows. Path B (JSON hard_issues_json contains c8_not_passed): 48 rows. Union: 256. Stored blocker count: 256. Both-paths agreement with stored: 844/844. c8_oos_status value counts on blocked rows: {'NEGATIVE_OOS_EXPR': 151, 'FAILED_RATIO': 71, 'INSUFFICIENT_N_PATHWAY_A_PASS_THROUGH': 19, 'NO_OOS_DATA': 15}."
G5_chordia_passes_strict,chordia_t >= 3.79 (no theory) for strict-pass; theory grants apply downstream at chordia_audit_log.,trading_app/chordia.py:53-100; queue script:427-431,718,718,0,844,0,0,True,0,"compute_chordia_t agreement with stored: 844/844. Theory-grant candidates that would pass at t>=3.00 but fail at t>=3.79: 9. Funnel applies CHORDIA_T_WITHOUT_THEORY uniformly (line 428) — this is INTENDED policy, theory grants take effect only at the per-strategy chordia_audit_log step, not at queue-tier classification."
G6_oos_power_tier,"one_sample_power(d, n_oos) -> CAN_REFUTE/DIRECTIONAL_ONLY/STATISTICALLY_USELESS.",research/oos_power.py; queue script:434-448,832,832,0,844,0,0,True,0,"one_sample_power+power_verdict agreement with stored tier: 844/844. Stored tier counts: {'STATISTICALLY_USELESS': 832, 'CAN_REFUTE': 6, 'DIRECTIONAL_ONLY': 6}. Recomputed tier counts: {'STATISTICALLY_USELESS': 832, 'CAN_REFUTE': 6, 'DIRECTIONAL_ONLY': 6}."
G7_NOT_IN_LANE_ALLOC,allocator_status defaults to NOT_IN_LANE_ALLOC when not in lanes[].,research/chordia_queue_recompute.py:383,841,840,1,837,0,7,True,0,"allocator_status agreement: 837/844. Stored NOT_IN_LANE_ALLOC: 841. Recomputed NOT_IN_LANE_ALLOC: 840. Disagreements (7) reflect temporal drift between queue snapshot (2026-05-12) and current lane_allocation.json — NOT a false exclusion. allocator_status is metadata, never a blocker."
G8_family_purged_or_singleton,"family_status in {PURGED, SINGLETON} -> blocker (JSON-derived).",research/chordia_queue_recompute.py:407-410,24,24,0,844,0,0,False,0,"family_purged stored=18, family_singleton stored=6. family_status PURGED in CSV: 18. family_status SINGLETON in CSV: 6. Source is 2026-05-11 MNQ deployability JSON snapshot — may be stale vs current MNQ inventory."
G9_hard_issues_json,JSON hard_issues in _CANONICAL_HARD_ISSUES set add to blockers.,research/chordia_queue_recompute.py:418-423,22,22,0,844,0,0,False,0,"JSON-derived hard issues per-code counts (on blocked rows): {'replay_mismatch': 19, 'slippage_missing': 12}. hard_issues_json -> blocker agreement: 844/844."
G10_INSTRUMENT_REGIME_COLD_OR_WARM_dead_code,Declared in _NEW_GAP_CODES; never written by _apply_gates.,research/chordia_queue_recompute.py:163,0,0,0,0,0,0,False,0,"INSTRUMENT_REGIME_COLD_OR_WARM appears in 0 of 844 blockers rows. Declared at chordia_queue_recompute.py:163 in _NEW_GAP_CODES set but never appended to gate.blockers in _apply_gates. Dead code — not a false exclusion, but a producer/consumer gap (per feedback_allocator_gate_class_pattern_fail_open.md). Future-state: either implement (regime fitness scorer integration) or remove."
G11_audit_age_staleness,audit_age_days > 90 -> PAUSED per doctrine; queue does not enforce.,docs/runtime/chordia_audit_log.yaml schema; queue script:392-398,0,0,0,0,0,0,False,0,"chordia_log_age_days > 90 count: 0. Of those, deploy-eligible-but-stale (no other blockers): 0. Queue script reports age as metadata but does NOT block on it — this is a funnel-vs-doctrine gap per feedback_chordia_unlock_deployment_gate_audit_checklist.md. Suggestion: add stale_audit blocker in chordia_queue_recompute.py around line 396, mirroring NO_CHORDIA_AUDIT_LOG_ENTRY structure."
