rank,strategy_id,factory_status,next_action,draft_path,runner_command,stop_multiplier,family_priority
18,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_O15,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-o15-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-o15-chordia-unlock-v1.draft.yaml,1.0,0
19,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,0
20,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O15,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o15-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o15-chordia-unlock-v1.draft.yaml,1.0,0
21,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o30-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o30-chordia-unlock-v1.draft.yaml,1.0,0
22,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,0
23,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.draft.yaml,1.0,0
24,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.draft.yaml,1.0,0
25,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-o15-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-o15-chordia-unlock-v1.draft.yaml,1.0,0
26,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,0
27,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_2026_05_31/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.draft.yaml,1.0,0
28,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,0
29,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,0
