rank,strategy_id,factory_status,next_action,draft_path,runner_command,stop_multiplier,family_priority
696,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_ORB_VOL_4K,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-cme-preclose-e2-rr1-0-cb1-orb-vol-4k-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-cme-preclose-e2-rr1-0-cb1-orb-vol-4k-chordia-unlock-v1.draft.yaml,1.0,5
697,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,5
698,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_VWAP_BP_ALIGNED_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,5
699,MNQ_CME_PRECLOSE_E2_RR2.0_CB1_ATR_P70,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-cme-preclose-e2-rr2-0-cb1-atr-p70-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-cme-preclose-e2-rr2-0-cb1-atr-p70-chordia-unlock-v1.draft.yaml,1.0,5
700,MNQ_NYSE_OPEN_E2_RR1.0_CB1_ATR_P50_O30,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-atr-p50-o30-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-atr-p50-o30-chordia-unlock-v1.draft.yaml,1.0,5
701,MNQ_NYSE_OPEN_E2_RR2.0_CB1_OVNRNG_50,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr2-0-cb1-ovnrng-50-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr2-0-cb1-ovnrng-50-chordia-unlock-v1.draft.yaml,1.0,5
702,MNQ_CME_PRECLOSE_E1_RR1.0_CB1_X_MES_ATR60_O15,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-cme-preclose-e1-rr1-0-cb1-x-mes-atr60-o15-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-cme-preclose-e1-rr1-0-cb1-x-mes-atr60-o15-chordia-unlock-v1.draft.yaml,1.0,5
703,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT08_S075,BLOCKED_NON_DEFAULT_STOP,Requires outcome_builder rebuild at stop_multiplier=0.75 and a stop-specific strict replay runner before Chordia audit.,,,0.75,5
704,MNQ_NYSE_CLOSE_E2_RR1.0_CB1_ORB_G6_O15,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-close-e2-rr1-0-cb1-orb-g6-o15-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-close-e2-rr1-0-cb1-orb-g6-o15-chordia-unlock-v1.draft.yaml,1.0,5
705,MNQ_NYSE_CLOSE_E2_RR1.0_CB1_ORB_VOL_8K_O15,PREREG_DRAFT_READY,"Review draft, move to active hypotheses if accepted, then run strict Chordia replay.",artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-close-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.draft.yaml,python research/chordia_strict_unlock_v1.py --hypothesis-file artifacts/research/chordia_evidence_factory_after_p0_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-nyse-close-e2-rr1-0-cb1-orb-vol-8k-o15-chordia-unlock-v1.draft.yaml,1.0,5
