DRIFT PROFILE — 207 checks executed, 202.2s total (slowest first)
  seconds  cached?     label
------------------------------------------------------------------------------
    50.42  ineligible  FAST_LANE PROMOTE queue: no orphan PROMOTEs, no ERROR entries, cache up to date
    33.37  db          Active native trade-window provenance matches canonical recomputation
    26.37  db          Active micro-only filters first trade on/after micro launch
    14.57  ineligible  Drift cache meta cold-recheck (cached PASSes reproduce on cold re-run)
    11.87  db          Validated_setups C4 claims reproduce from canonical orb_outcomes (MES/MGC)
    11.32  ineligible  Doc hygiene contracts (stamps, design-only, generated markers)
     6.57  ineligible  MCP servers answer initialize (sidecar dep-rot guard)
     5.69  ineligible  Phase 4 SHA migration manifest integrity (every check_107_sha_migrations.yaml entry is evidence-grounded)
     3.84  ineligible  Fast-lane status roll-up reconstruction parity: docs/runtime/fast_lane_status.yaml must match a fresh scripts/tools/fast_lane_status.py build (Stage 2A.2 connective-tissue)
     3.28  ineligible  Research scans reading canonical layers + filter/E2 must call a canonical guard (canary harness deliverable #3)
     3.28  ineligible  Tests forbid canonical production runtime-path literals (ALERT-CONTAM-N2, ralph iter 203)
     3.25  ineligible  CRG D2: Canonical-import enforcement -- research scripts must not re-implement canonical functions
     2.79  ineligible  Generated task views preserve strict truth-class boundaries
     2.64  ineligible  CRG D3: Canonical functions must have at least one import-and-call test (AST-based; CRG tests_for graph proven incomplete)
     1.96  ineligible  All imports resolve
     1.72  ineligible  Pre-reg hypothesis files pass Bailey 2013 MinBTL K-budget gate
     1.24  ineligible  CRG D5: Top-10 bridge nodes (betweenness-centrality chokepoints) must have TESTED_BY edges
     1.22  ineligible  Phase 4 discovery SHA integrity (stamped hypothesis_file_sha must reference real file)
     1.05  hit         DSR reference-universe lock declared (Criterion 5 Amendment 3.5: criterion_5 block complete when claiming DSR-clearance)
     0.87  ineligible  GARCH dependency importable (`arch` package present)
     0.85  ineligible  lane_allocation.json lanes[] must pass Chordia gate (verdict + audit freshness)
     0.78  ineligible  SQL column convention: pipeline tables use 'symbol', trading app tables use 'instrument'
     0.64  ineligible  Stage-file staleness vs landed commits (advisory; prevents re-litigation)
     0.63  ineligible  Canonical Claude client source (claude_client.py is the only place for Claude model IDs + anthropic.Anthropic)
     0.58  hit         AM3.3 audit-log/prereg theory_grant parity: chordia_audit_log.yaml theory_grants must match active prereg metadata.theory_grant (Check #162)
     0.57  ineligible  paper_trades reads exclude shadow rows (VIEW or execution_source guard)
     0.55  ineligible  Canonical orb_utc_window source (only pipeline/dst.py may define it)
     0.54  ineligible  Preflight status-token parity (dashboard maps every token to a blocking bucket; no live-arm fail-open)
     0.52  ineligible  Chordia result MD threshold matches prereg chordia_threshold_basis (theory_citation field-presence trap)
     0.50  ineligible  Active research code uses pipeline.paths for DB selection
     0.49  ineligible  CRG D1: Surprising cross-layer connections between pipeline/ and trading_app/ (bypassing canonical surfaces)
